Id_Comuna;Mujeres empleadas;Mujeres desempleadas;Hombres empleados;Hombres desempleados;Total empleados;Total desempleados
6309;444;27;945;60;1389;87
6310;6655;486;10242;728;16897;1214
7101;40572;2917;54329;4193;94901;7110
7102;7221;538;12596;916;19817;1454
7103;1160;84;2351;182;3511;266
7104;531;29;1263;54;1794;83
7105;8646;615;12477;926;21123;1541
7107;1252;71;2358;98;3610;169
7106;1199;101;2284;127;3483;228
7108;2040;114;4309;151;6349;265
7109;5681;458;11336;1097;17017;1555
7110;1371;92;2342;198;3713;290
7201;6239;545;9683;615;15922;1160
7202;1084;79;2333;150;3417;229
7203;1155;55;1880;125;3035;180
7301;28736;1660;40102;2289;68838;3949
7302;1321;87;2556;182;3877;269
7303;1131;75;1852;102;2983;177
7304;7657;523;12442;717;20099;1240
7305;1544;117;2837;164;4381;281
7306;2591;174;4527;240;7118;414
7307;2729;163;5395;259;8124;422
7308;4423;257;8417;459;12840;716
7309;696;35;1296;69;1992;104
7401;16515;1520;22729;2102;39244;3622
7402;2715;235;5018;564;7733;799
7403;3654;323;8121;723;11775;1046
7404;6144;655;10123;866;16267;1521
7405;2133;203;5109;434;7242;637
7406;6701;536;11170;881;17871;1417
7407;2356;164;4093;258;6449;422
7408;2206;217;4761;410;6967;627
16101;33027;2959;42936;4103;75963;7062
16102;2991;222;5135;441;8126;663
16103;5317;510;7290;623;12607;1133
16104;1484;104;2976;170;4460;274
16105;899;71;1936;202;2835;273
16106;1471;91;2705;194;4176;285
16107;2106;185;4273;313;6379;498
16108;1653;173;3748;328;5401;501
16109;2381;213;4434;472;6815;685
16201;1568;104;2807;211;4375;315
16202;661;42;1203;98;1864;140
16203;2063;219;3820;340;5883;559
16204;568;35;1075;89;1643;124
16205;564;40;1169;77;1733;117
16206;688;44;1373;116;2061;160
16207;618;61;1187;116;1805;177
16301;7481;706;12318;1160;19799;1866
16302;3091;357;6694;629;9785;986
16303;1058;90;2458;306;3516;396
16304;528;60;1106;99;1634;159
16305;1408;127;2853;240;4261;367
8101;43139;3363;54361;4428;97500;7791
8102;17847;1762;25883;3211;43730;4973
8103;16018;1320;20391;1807;36409;3127
8104;1385;84;2854;189;4239;273
8105;3617;292;5840;490;9457;782
8106;7070;611;9033;1557;16103;2168
8107;7804;659;11317;1038;19121;1697
8108;25015;1863;32042;2586;57057;4449
8109;1970;128;3203;283;5173;411
8110;26004;2361;35376;3499;61380;5860
8111;9337;838;12528;1214;21865;2052
8112;16708;1534;21351;2287;38059;3821
8201;4009;231;6033;379;10042;610
8202;5252;436;8866;823;14118;1259
8203;5125;417;8076;680;13201;1097
8204;965;76;1452;143;2417;219
8205;5012;491;7373;1044;12385;1535
8206;2862;316;4764;543;7626;859
8207;1480;131;2408;275;3888;406
8301;33520;2825;50615;4363;84135;7188
8302;533;36;771;188;1304;224
8303;3425;427;6904;830;10329;1257
8304;2728;285;4574;847;7302;1132
8305;3841;352;7249;664;11090;1016
8306;3209;314;5929;788;9138;1102
8307;1145;103;2304;298;3449;401
8308;484;37;885;103;1369;140
8309;1086;111;2111;289;3197;400
8310;372;59;642;143;1014;202
8311;1818;187;3067;403;4885;590
8312;1805;181;3190;378;4995;559
8313;2690;237;4763;522;7453;759
8314;553;49;1137;179;1690;228
9101;54519;3994;69085;5090;123604;9084
9102;3085;223;5801;371;8886;594
9103;2053;158;4204;350;6257;508
9104;1058;69;1819;109;2877;178
9105;2925;239;6237;454;9162;693
9106;1240;119;2513;297;3753;416
9107;2048;223;3450;285;5498;508
9108;5027;519;8795;784;13822;1303
9109;3000;304;5388;497;8388;801
9110;762;79;1255;159;2017;238
9111;4485;374;7394;568;11879;942
9112;11818;975;18109;1585;29927;2560
9113;837;71;1682;140;2519;211
9114;3659;285;5871;429;9530;714
9115;5317;382;7737;522;13054;904
9116;1526;114;2768;181;4294;295
9117;1719;129;3748;247;5467;376
9118;1223;72;2237;162;3460;234
9119;3737;341;6793;536;10530;877
9120;9269;747;14085;994;23354;1741
9121;1372;114;2507;187;3879;301
9201;9238;785;12897;1159;22135;1944
9202;3358;289;5834;581;9192;870
9203;2506;203;4110;332;6616;535
9204;1001;95;1746;157;2747;252
9205;1189;107;2530;219;3719;326
9206;1003;63;1748;129;2751;192
9207;956;94;2208;240;3164;334
9208;1570;130;2573;254;4143;384
9209;1488;109;2509;234;3997;343
9210;2715;235;4185;361;6900;596
9211;5228;471;8064;727;13292;1198
14101;32529;2242;41470;2750;73999;4992
14102;796;56;1364;89;2160;145
14103;2422;197;4077;338;6499;535
14104;2586;222;5090;379;7676;601
14105;965;75;1827;129;2792;204
14106;2997;260;5251;443;8248;703
14107;2826;223;5340;321;8166;544
14108;4751;415;8473;770;13224;1185
14201;5413;526;9347;660;14760;1186
14202;1859;159;3764;291;5623;450
14203;1083;111;2462;221;3545;332
14204;4239;387;8146;497;12385;884
10101;48015;3448;66122;4197;114137;7645
10102;5193;383;8684;655;13877;1038
10103;517;29;1207;73;1724;102
10104;1736;97;3350;155;5086;252
10105;3079;203;5093;276;8172;479
10106;2417;98;4914;177;7331;275
10107;2879;237;4801;351;7680;588
10108;2049;140;3912;194;5961;334
10109;9560;480;12599;646;22159;1126
10201;9027;548;11740;783;20767;1331
10202;7085;528;9944;687;17029;1215
10203;2574;137;4016;193;6590;330
10204;583;40;888;70;1471;110
10205;2322;127;3591;229;5913;356
10206;494;18;970;62;1464;80
10207;768;72;1356;93;2124;165
10208;4814;473;7733;624;12547;1097
10209;1195;59;2154;136;3349;195
10210;1256;73;1859;108;3115;181
10301;29860;2229;41334;2860;71194;5089
10302;1121;67;2677;135;3798;202
10303;2861;221;5175;308;8036;529
10304;1354;105;3171;166;4525;271
10305;1699;146;3680;207;5379;353
10306;942;36;2031;83;2973;119
10307;1342;74;2567;134;3909;208
10401;770;34;1966;51;2736;85
10402;511;19;925;21;1436;40
10403;1282;69;2472;155;3754;224
10404;308;16;536;16;844;32
11101;12620;641;16577;627;29197;1268
11102;160;11;334;11;494;22
11201;4290;304;7406;445;11696;749
11202;1136;44;2814;84;3950;128
11203;287;31;802;49;1089;80
11301;739;32;1176;21;1915;53
11302;133;8;278;6;411;14
11303;120;2;189;3;309;5
11401;927;43;1580;52;2507;95
11402;502;24;879;30;1381;54
12101;27685;1387;38596;1594;66281;2981
12104;105;2;555;7;660;9
12201;386;10;880;12;1266;22
12301;1370;62;2913;64;4283;126
12302;141;2;864;5;1005;7
12401;4319;203;6368;262;10687;465
12402;338;7;744;5;1082;12
