Unidad territorial, Variable, 2022
Río Ibáñez, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 649.0
Chile Chico, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 900.0
Cochrane, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 722.0
Tortel, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 143.0
O’higgins, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 84.0
Torres Del Paine, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 64.0
Natales, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4174.0
Laguna Blanca, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 44.0
San Gregorio, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 123.0
Río Verde, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 40.0
Primavera, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 150.0
Punta Arenas, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 22391.0
Porvenir, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1347.0
Timaukel, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 27.0
Cabo De Hornos, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1023.0
Antártica, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, -
