Unidad territorial, Variable, 2022
Lampa, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 16362.0
Casablanca, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5400.0
Lo Barnechea, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 24201.0
Quilicura, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 25907.0
Huechuraba, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 13913.0
Algarrobo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6542.0
Conchalí, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 14165.0
Vitacura, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 26425.0
Curacaví, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 7671.0
Renca, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 17874.0
Recoleta, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 18001.0
El Quisco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6649.0
Independencia, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 15103.0
Las Condes, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 89319.0
Cerro Navia, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 14036.0
Quinta Normal, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 16513.0
Providencia, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 47371.0
Pudahuel, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 38206.0
La Reina, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 19136.0
Lo Prado, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 12297.0
Santiago, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 80552.0
El Tabo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6117.0
Ñuñoa, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 52226.0
Estación Central, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 20608.0
Peñalolén, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 31505.0
Macul, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 22365.0
Pedro Aguirre Cerda, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 14391.0
San Joaquín, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 12621.0
San Miguel, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 26214.0
Cerrillos, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 11818.0
Maipú, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 84990.0
María Pinto, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2829.0
Lo Espejo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 14125.0
La Florida, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 61437.0
La Cisterna, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 15693.0
La Granja, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 20902.0
Cartagena, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5615.0
San Ramón, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 10058.0
El Bosque, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 21452.0
Padre Hurtado, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 11363.0
La Pintana, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 18815.0
San Bernardo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 42620.0
Puente Alto, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 90293.0
Peñaflor, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 17019.0
Calera De Tango, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4891.0
Pirque, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4689.0
Juan Fernández, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 69.0
San José De Maipo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3743.0
Santo Domingo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4075.0
Talagante, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 14302.0
San Antonio, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 17872.0
El Monte, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5858.0
Melipilla, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 18195.0
Buin, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 19817.0
Isla De Maipo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6161.0
Paine, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 11971.0
San Pedro, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2361.0
Navidad, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2086.0
Mostazal, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5163.0
Codegua, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2059.0
Alhué, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1235.0
Graneros, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 6524.0
Litueche, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1933.0
Rancagua, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 49517.0
Machalí, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 12086.0
Doñihue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5291.0
La Estrella, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 802.0
Olivar, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2864.0
Coinco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1939.0
Requínoa, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5811.0
Las Cabras, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 5958.0
Coltauco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4362.0
Quinta De Tilcoco, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2655.0
Pichidegua, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 3686.0
Peumo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 2202.0
Pichilemu, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 4938.0
Marchihue, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 1881.0
Rengo, Cantidad de suscriptores de televisión de pago, Diciembre de cada año, 10629.0
