Unidad territorial, Variable, 2022
Lo Barnechea, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 28816.0
Quilicura, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 50752.0
Huechuraba, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 26385.0
Algarrobo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 6035.0
Conchalí, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 32456.0
Vitacura, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 35337.0
Curacaví, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3221.0
Renca, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 30090.0
Recoleta, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 42393.0
El Quisco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 5620.0
Independencia, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 34935.0
Las Condes, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 123940.0
Cerro Navia, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 30113.0
Quinta Normal, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 38846.0
Providencia, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 74439.0
Pudahuel, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 66572.0
La Reina, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 28837.0
Lo Prado, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 25755.0
Santiago, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 172521.0
El Tabo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4337.0
Ñuñoa, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 100766.0
Estación Central, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 55650.0
Peñalolén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 54564.0
Macul, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 46092.0
Pedro Aguirre Cerda, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 22185.0
San Joaquín, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 24176.0
San Miguel, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 56466.0
Cerrillos, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 18372.0
Maipú, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 153490.0
María Pinto, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 226.0
Lo Espejo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 14685.0
La Florida, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 115024.0
La Cisterna, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 30407.0
La Granja, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 22338.0
Cartagena, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 5936.0
San Ramón, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 13477.0
El Bosque, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 41467.0
Padre Hurtado, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 16018.0
La Pintana, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 15199.0
San Bernardo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 66333.0
Puente Alto, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 144652.0
Peñaflor, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 20841.0
Calera De Tango, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2914.0
Pirque, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2297.0
Juan Fernández, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 105.0
San José De Maipo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1162.0
Santo Domingo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3916.0
Talagante, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 15445.0
San Antonio, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 22973.0
El Monte, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 6205.0
Melipilla, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 18539.0
Buin, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 22020.0
Isla De Maipo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4327.0
Paine, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 6891.0
San Pedro, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 458.0
Navidad, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 234.0
Mostazal, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4500.0
Codegua, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1317.0
Alhué, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 348.0
Graneros, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 8086.0
Litueche, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 407.0
Rancagua, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 75508.0
Machalí, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 16433.0
Doñihue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2966.0
La Estrella, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 76.0
Olivar, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1842.0
Coinco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1193.0
Requínoa, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2729.0
Las Cabras, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1630.0
Coltauco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2544.0
Quinta De Tilcoco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1301.0
Pichidegua, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1260.0
Peumo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1464.0
Pichilemu, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 4095.0
Marchihue, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 347.0
Rengo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 13340.0
San Vicente, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 6416.0
Malloa, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 893.0
Peralillo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 573.0
Palmilla, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 416.0
San Fernando, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 18937.0
Pumanque, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 201.0
Placilla, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 415.0
Santa Cruz, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 8102.0
Paredones, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 72.0
Nancagua, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 472.0
Chimbarongo, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 3383.0
Lolol, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 470.0
Chépica, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 942.0
Teno, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 2228.0
Vichuquén, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 293.0
Rauco, Cantidad de Conexiones de internet fijas, Diciembre de cada año, 1503.0
