Coltauco, Total Docentes, 356.0
Quinta De Tilcoco, Total Docentes, 219.0
Pichidegua, Total Docentes, 268.0
Peumo, Total Docentes, 214.0
Pichilemu, Total Docentes, 300.0
Marchihue, Total Docentes, 129.0
Rengo, Total Docentes, 991.0
San Vicente, Total Docentes, 780.0
Malloa, Total Docentes, 167.0
Peralillo, Total Docentes, 148.0
Palmilla, Total Docentes, 132.0
San Fernando, Total Docentes, 1423.0
Pumanque, Total Docentes, 55.0
Placilla, Total Docentes, 133.0
Santa Cruz, Total Docentes, 799.0
Paredones, Total Docentes, 109.0
Nancagua, Total Docentes, 256.0
Chimbarongo, Total Docentes, 637.0
Lolol, Total Docentes, 104.0
Chépica, Total Docentes, 219.0
Teno, Total Docentes, 481.0
Vichuquén, Total Docentes, 81.0
Rauco, Total Docentes, 135.0
Romeral, Total Docentes, 246.0
Hualañé, Total Docentes, 176.0
Curicó, Total Docentes, 2688.0
Licantén, Total Docentes, 158.0
Sagrada Familia, Total Docentes, 253.0
Curepto, Total Docentes, 156.0
Molina, Total Docentes, 724.0
Río Claro, Total Docentes, 211.0
San Rafael, Total Docentes, 155.0
Constitución, Total Docentes, 828.0
Pelarco, Total Docentes, 172.0
Pencahue, Total Docentes, 103.0
Talca, Total Docentes, 4206.0
Maule, Total Docentes, 470.0
San Clemente, Total Docentes, 740.0
Empedrado, Total Docentes, 76.0
San Javier, Total Docentes, 908.0
Villa Alegre, Total Docentes, 265.0
Colbún, Total Docentes, 344.0
Chanco, Total Docentes, 148.0
Yerbas Buenas, Total Docentes, 248.0
Pelluhue, Total Docentes, 146.0
Linares, Total Docentes, 1920.0
Longaví, Total Docentes, 469.0
Cauquenes, Total Docentes, 724.0
Retiro, Total Docentes, 411.0
Cobquecura (Región del Ñuble), Total Docentes, 98.0
Parral, Total Docentes, 691.0
Quirihue (Región del Ñuble), Total Docentes, 251.0
Ñiquén (Región del Ñuble), Total Docentes, 233.0
Ninhue (Región del Ñuble), Total Docentes, 121.0
San Carlos (Región del Ñuble), Total Docentes, 1111.0
Treguaco (Región del Ñuble), Total Docentes, 112.0
Coelemu (Región del Ñuble), Total Docentes, 365.0
San Nicolás (Región del Ñuble), Total Docentes, 393.0
Portezuelo (Región del Ñuble), Total Docentes, 109.0
San Fabián (Región del Ñuble), Total Docentes, 107.0
Chillán (Región del Ñuble), Total Docentes, 3329.0
Tomé, Total Docentes, 1088.0
Coihueco (Región del Ñuble), Total Docentes, 484.0
Chillán Viejo (Región del Ñuble), Total Docentes, 386.0
Ránquil (Región del Ñuble), Total Docentes, 136.0
Pinto (Región del Ñuble), Total Docentes, 211.0
Penco, Total Docentes, 673.0
Bulnes (Región del Ñuble), Total Docentes, 424.0
Quillón (Región del Ñuble), Total Docentes, 291.0
Talcahuano, Total Docentes, 2214.0
Hualpén, Total Docentes, 1075.0
San Ignacio (Región del Ñuble), Total Docentes, 324.0
Concepción, Total Docentes, 3705.0
Florida, Total Docentes, 193.0
San Pedro De La Paz, Total Docentes, 2021.0
El Carmen (Región del Ñuble), Total Docentes, 310.0
Chiguayante, Total Docentes, 1347.0
Hualqui, Total Docentes, 358.0
Pemuco (Región del Ñuble), Total Docentes, 147.0
Coronel, Total Docentes, 2098.0
Cabrero, Total Docentes, 504.0
Lota, Total Docentes, 806.0
Yumbel, Total Docentes, 371.0
Yungay (Región del Ñuble), Total Docentes, 341.0
Santa Juana, Total Docentes, 278.0
Arauco, Total Docentes, 697.0
San Rosendo, Total Docentes, 44.0
Laja, Total Docentes, 506.0
Tucapel, Total Docentes, 229.0
Antuco, Total Docentes, 74.0
Los Ángeles, Total Docentes, 3677.0
Quilleco, Total Docentes, 144.0
Curanilahue, Total Docentes, 656.0
