Id_comuna;Id_comisaria;Nombre_comisaria;Direccion;Fono;Tipo;;;;;
3101;58;TENENCIA CARRETERA ATACAMA NORTE;RUTA 5 NORTE KM 486;522552118;TENENCIA;;;;;
3101;59;SUBCOMISARiA PEDRO LEON GALLO;LOS LOROS N 1850;522552165;SUBCOMISARIA;;;;;
3101;60;SUBCOMISARIA (C.O.P);AVDA. COPAYAPU 3302;522552160;SUBCOMISARIA;;;;;
3101;61;RETEN PAIPOTE;PEDRO AGUIRRE CERDA S/N;522552121;RETEN;;;;;
3102;62;SUBCOMISARiA CALDERA;BATALLONES DE ATACAMA N 307;522552125;SUBCOMISARIA;;;;;
3103;63;SUBCOMISARiA TIERRA AMARILLA;MONSENOR MIGUEL LEMEUR S/N;522552123;SUBCOMISARIA;;;;;
3103;64;RETEN SACRAMENTO (F);FERROCARRIL S/N;522552133;RETEN;;;;;
3201;65;1A. COMISARIA CHAARAL;LOS CARRERAS S/N;522552066;COMISARIA;;;;;
3201;66;RETEN EL SALADO;PEDRO LUJAN N 797;522552086;RETEN;;;;;
3202;67;4A. COMISARiA EL SALVADOR;AVENIDA POTRERILLOS SUR N 2502;522552135;COMISARIA;;;;;
3202;68;SUBCOMISARiA DIEGO DE ALMAGRO;JUAN MARTINEZ DE ROSA N 1301;522552088;SUBCOMISARIA;;;;;
3301;69;3A COMISARiA DE VALLENAR;SERRANO N 1196;522551244;COMISARIA;;;;;
3301;70;TENENCIA CARRETERA ATACAMA SUR;RUTA 5 NORTE KM 662;512651296;TENENCIA;;;;;
3301;71;RETEN ALFREDO ROZAS BUGUEO;MARTiN GONZaLEZ N 1745;552651288;RETEN;;;;;
3302;72;TENENCIA ALTO DEL CARMEN;PADRE ALONSO GARCIA/PUENTE;512651290;TENENCIA;;;;;
3302;73;RETEN EL TRANSITO;AVENIDA MATTA S/N;512651293;RETEN;;;;;
3302;74;RETEN SAN FELIX (F);SERRANO S/N;512651292;RETEN;;;;;
3302;75;RETEN CONAY (F);RUTA C495, KM. 49,600;512651295;RETEN;;;;;
3303;76;TENENCIA FREIRINA;RIO JANEIRO N 861;512651283;TENENCIA;;;;;
3304;77;SUBCOMISARiA HUASCO (M);ARTURO PRAT N 98;512651275;SUBCOMISARIA;;;;;
4101;78;PREFECTURA DE CARABINEROS DE COQUIMBO;CIENFUEGOS N 180;512651015;PREFECTURA;;;;;
4101;79;IV ZONA DE CARABS. COQUIMBO;COLON N 691;512651000;ZONA;;;;;
4101;80;1A COMISARiA LA SERENA;COLON N 720;512651081;COMISARIA;;;;;
4101;81;6A COMISARiA DE LAS COMPAIAS;CALLE MEXICO NRO. 2440;512651190;COMISARIA;;;;;
4101;82;3A. COMISARIA CONTROL ORDEN PUBLICO;JUAN JOSE LATORRE N∫ 415;512651220;COMISARIA;;;;;
4101;83;TENENCIA CARRETERA ELQUI;RUTA 5 NORTE KM. 540.555;512651110;TENENCIA;;;;;
4101;84;SUBCOMISARiA LA FLORIDA;AV. 18 DE SEPTIEMBRE N 4117;512651103;SUBCOMISARIA;;;;;
4101;85;SUBCOMISARiA I.A.T. LA SERENA;BALMACEDA N 4828;512651055;SUBCOMISARIA;;;;;
4102;86;TENENCIA TONGOY;AVENIDA. FUNDICIoN NORTE N 107;512651149;TENENCIA;;;;;
4102;87;RETEN GUANAQUEROS;FRITZ WILLY LINDENMANN N 2380 GUANAQUEROS;512651158;RETEN;;;;;
4102;88;2A COMISARiA DE COQUIMBO;CALLE TEGUALDA N 515;512651114;COMISARIA;;;;;
4102;89;SUBCOMISARiA TIERRAS BLANCAS;AVENIDA. RENE SCHNEIDER N 528;512651140;SUBCOMISARIA;;;;;
4102;90;TENENCIA LA HERRADURA;LAS GAVIOTAS N 186;512651154;TENENCIA;;;;;
4102;91;TENENCIA COQUIMBO ORIENTE;AVENIDA. EL SAUCE N 1109;512651152;TENENCIA;;;;;
4102;92;TENENCIA LAS ENCINAS;RUBEN JIMENEZ S/N;512651159;TENENCIA;;;;;
4102;93;TENENCIA PEUELAS;RUTA 5 S/N. CRUCE PENUELAS;512651135;TENENCIA;;;;;
4102;94;RETEN CERRO DEL VIGIA;CALLE ALONSO DE ERCILLA N 418;652651160;RETEN;;;;;
4103;95;TENENCIA ANDACOLLO;DOMINGO SANTA MARiA N 509;512651147;TENENCIA;;;;;
4104;96;RETEN LA HIGUERA;AV. LA PAZ S/N;512651112;RETEN;;;;;
4105;97;TENENCIA PAIHUANO;BALMACEDA S/N;512651186;TENENCIA;;;;;
4105;98;RETEN PISCO ELQUI (F);CENTENARIO S/N;512651188;RETEN;;;;;
4106;99;5A. COMISARiA VICUA;AVENIDA LAS DELICIAS N 599;512651162;COMISARIA;;;;;
4106;100;TENENCIA JUNTAS DEL TORO;RUTA D41 KM 147;512651183;TENENCIA;;;;;
4106;101;RETEN EL MOLLE;AVENIDA ESTADIO S/N;512651182;RETEN;;;;;
4201;102;4A. COMISARiA DE ILLAPEL;BERNARDO O HIGGINS N 189;532453125;COMISARIA;;;;;
4202;103;TENENCIA CHOAPA MIXTA CARRETERAS;RUTA 5 NORTE KM 250;532453156;TENENCIA;;;;;
4202;104;RETEN LA CANELA;ESTANISLAO OLLARZU N 665;532453168;RETEN;;;;;
4203;105;SUBCOMISARiA LOS VILOS;CALLE TUCAPEL N 599;532453147;SUBCOMISARIA;;;;;
4203;106;RETEN PICHIDANGUI;CALLE LA RAYA N 73;532453155;RETEN;;;;;
4204;107;SUBCOMISARiA SALAMANCA;BERNARDO OHIGGINS N 599;532453159;SUBCOMISARIA;;;;;
4204;108;RETEN COIRON (F);18 DE SEPTIEMBRE S/N;532453167;RETEN;;;;;
4301;109;3A. COMISARiA OVALLE;TANGUE N 20;532453000;COMISARIA;;;;;
4301;110;TENENCIA ASISTENCIAL DE MENORES OVALLE;LORD COCHRANE N 608, POBLACION ATENAS;532453089;TENENCIA;;;;;
4301;111;TENENCIA CARRETERA LIMARI;RUTA 5 NORTE KMS 389 CERRILLOS;532453081;TENENCIA;;;;;
4301;112;RETEN CERRILLOS DE TAMAYA;ARTURO VILLALON S/N;532453086;RETEN;;;;;
4302;113;SUBCOMISARiA COMBARBALA;PLAZA DE ARMAS N 100;532453068;SUBCOMISARIA;;;;;
4302;114;RETEN COGOTI (F);MANUEL RODRIGUEZ N 27;532453076;RETEN;;;;;
4303;115;SUBCOMISARiA MONTE PATRIA;CALLE PONIU N 149;532453051;SUBCOMISARIA;;;;;
4303;116;RETEN EL PALQUI;GALVARINO S/N;532453064;RETEN;;;;;
4303;117;RETEN CHANARAL ALTO;LOS LIBERTADORES N 81;532453065;RETEN;;;;;
4303;118;RETEN LAS TORTOLAS (F);RUTA D557 KM 31, CENTRAL LOS MOLLES;532453060;RETEN;;;;;
4303;119;RETEN PEDREGAL (F);LAS DELICIAS S/N;532453061;RETEN;;;;;
4303;120;RETEN TULAHUEN (F);AVENIDA VICUA MACKENNA S/ TULAHUEN DE LA RUTA D597 KM 43;532453062;RETEN;;;;;
4304;121;TENENCIA PUNITAQUI;CAUPOLICAN N 1150;532453078;TENENCIA;;;;;
4305;122;RETEN PICHASCA;RUTA D595 KM 40, COMUNA DE RiO HURTADO;532453085;RETEN;;;;;
4305;123;RETEN HURTADO (F);CAUPOLICaN S/N, RUTA D595 KM71;532453084;RETEN;;;;;
5101;124;1A. COMISARiA VALPARAiSO SUR;AGUAYO N 42, PLAYA ANCHA;3223132098;COMISARIA;;;;;
5101;125;TENENCIA CORDILLERA;GUMERCINDO DiAZ N 1292;3223132115;TENENCIA;;;;;
5101;126;2A. COMISARiA VALPARAiSO CENTRAL;AVENIDA. COLN N 1823;3223132119;COMISARIA;;;;;
5101;127;PREFECTURA VALPARAiSO;BUENOS AIRES N 750;323132013;PREFECTURA;;;;;
5101;128;V ZONA VALPARAiSO;BUENOS AIRES N 750;323132000;ZONA;;;;;
5101;129;8A. COMISARiA FLORIDA;MARIANO SERRATEA N 136, CERRO FLORIDA;323132247;COMISARIA;;;;;
5101;130;9NA. COMISARIA CONGRESO NACIONAL;Av. Pedro Montt s/n, Valpara≠so;323132511;COMISARIA;;;;;
5101;131;SUBCOMISARiA I.A.T. VALPARAISO;GUACOLDA N 213;3223132065;SUBCOMISARIA;;;;;
7304;132;4A. COMISARiA DE MOLINA;MAIPU N 2022;752275139;COMISARIA;;;;;
7305;133;TENENCIA RAUCO;BALMACEDA N 37;752275055;TENENCIA;;;;;
